# %ECSV 0.9
# ---
# datatype:
# - {name: band, datatype: string}
# - {name: magnitude, unit: mag(AB), datatype: float64}
# - {name: e_magnitude, unit: mag(AB), datatype: float64}
# - {name: time, unit: d, datatype: float64}
# schema: astropy-2.0
band magnitude e_magnitude time
g 20.94 0.06 3.49147635416
r 19.74 0.02 3.49147635416
z 18.3 0.02 3.49147635416
H 17.69 0.02 3.49999535416
J 17.94 0.02 3.49999535416
Ks 17.62 0.02 3.49999535416
H 17.72 0.04 3.50047635417
J 17.93 0.06 3.50047635417
Ks 17.61 0.06 3.50047635417
g 20.9 0.01 3.50999535416
i 18.93 0.01 3.50999535416
r 19.66 0.01 3.50999535416
z 18.46 0.01 3.51999535417
V 20.68 0.31 3.52457635416
z 18.1 0.3 3.70703635416
I 19.0 0.1 3.82999535416
R 19.64 0.09 3.82999535416
r 19.86 0.21 3.96592075416
H 17.77 0.04 4.18047635417
J 18.13 0.12 4.18047635417
Ks 17.57 0.07 4.18047635417
r 20.3 0.31 4.18647635416
I 19.23 0.1 4.18999535417
R 19.94 0.06 4.18999535417
I 19.22 0.1 4.43999535417
R 20.12 0.08 4.43999535417
r 20.25 0.28 4.44047635416
R 20.238 0.058 4.44147635416
Y 18.08 0.02 4.44247635416
H 17.92 0.1 4.44485598379
H 18.02 0.1 4.44573635417
J 18.17 0.07 4.44573635417
K 17.53 0.11 4.44573635417
g 21.58 0.22 4.44573635417
i 19.51 0.04 4.44573635417
r 20.53 0.05 4.44573635417
z 19.07 0.06 4.44573635417
Y 18.3533040928 0.030046328553 4.44671805415
z 18.8080891149 0.0269513616356 4.44914365416
Ks 17.6 0.02 4.45047635416
z 18.73 0.01 4.45147635417
i 19.2227146535 0.0261106636456 4.45155265417
H 17.83 0.02 4.45447635416
r 20.2519395671 0.0485133686263 4.45516725416
i 19.39 0.04 4.45997635416
J 18.08 0.03 4.46047635416
Y 18.07 0.02 4.46047635416
r 19.86 0.01 4.46047635416
g 21.7307173599 0.111509058574 4.46242275416
w 20.64 0.09 4.46347635416
r 20.58 0.12 4.46797635416
J 18.1 0.02 4.46947635416
V 21.85 0.22 4.47147635416
z 18.927 0.027 4.47147635416
r 20.92 0.12 4.47547635416
g 21.75 0.1 4.47587635416
I 19.284 0.055 4.48147635417
g 21.78 0.06 4.49067635417
B 22.729 0.128 4.49147635416
V 21.082 0.054 4.49147635416
B 22.52 0.14 4.49317635416
Ks 17.72 0.09 4.51047635416
H 18.02 0.07 4.52047635416
J 18.15 0.06 4.52047635416
F110W 18.26 0.01 4.79047635417
F110W 18.429 0.026 4.79199535416
r 20.69 0.33 4.82947635416
I 19.52 0.13 4.82999535416
R 20.33 0.05 4.82999535416
F160W 18.063 0.03 4.92347635416
F160W 18.116 0.032 4.92499535417
r 20.2 0.23 4.96175413416
H 17.94 0.05 5.18047635417
J 18.31 0.06 5.18047635417
Ks 17.68 0.04 5.18047635417
I 19.68 0.1 5.18999535417
R 20.64 0.07 5.18999535417
F336W 24.97 0.11 5.32047635417
F336W 25.05 0.11 5.32047635417
F336W 25.18 0.11 5.35047635416
r 20.39 0.03 5.44047635416
z 19.08 0.12 5.44287635417
Y 18.8331247435 0.179805360845 5.44601435417
z 19.1747243524 0.105964725727 5.44842995417
i 19.5525353246 0.181829810072 5.45083975417
r 20.793940388 0.242455408336 5.45445635416
g 22.507 0.122 5.46147635416
g 22.0337508274 0.422551036617 5.46171415417
H 17.84 0.2 5.47147635416
Y 18.33 0.1 5.47147635416
i 20.27 0.12 5.47347635416
r 20.74 0.03 5.49147635416
z 19.16 0.03 5.49147635416
y 18.95 0.44 5.70501635416
R 20.95 0.07 5.82999535416
I 19.99 0.14 5.83999535417
I 20.31 0.11 6.19999535416
H 18.12 0.04 6.20047635416
H 18.6 0.18 6.20047635416
J 18.36 0.05 6.20047635416
J 18.65 0.19 6.20047635416
Ks 17.69 0.03 6.20047635416
Ks 18.01 0.1 6.20047635416
i 20.329 0.089 6.44147635416
Y 19.0624107404 0.306419801087 6.44575765417
I 20.142 0.072 6.45147635417
r 21.31 0.075 6.45147635417
z 19.627 0.039 6.45147635417
r 20.9476144582 0.352448546056 6.45685785417
Ks 17.84 0.03 6.46047635416
g 22.0821886958 0.515485013851 6.46771725417
J 18.74 0.04 6.47047635417
Y 18.71 0.04 6.47047635417
R 21.268 0.106 6.47147635416
B 23.807 0.251 6.49147635416
V 22.361 0.158 6.49147635416
y 19.31 0.43 6.70171635416
I 20.83 0.09 6.70587635416
I 20.39 0.12 6.83999535417
H 18.51 0.05 7.17047635416
H 18.53 0.17 7.17047635416
J 18.95 0.32 7.17047635416
J 18.98 0.08 7.17047635416
Ks 17.95 0.04 7.17047635416
Ks 18.02 0.12 7.17047635416
I 20.89 0.13 7.19999535416
F110W 19.06 0.01 7.24047635416
F110W 19.372 0.045 7.24199535416
H 18.79 0.14 7.43757589121
K 18.06 0.17 7.44047635416
z 19.87 0.07 7.44127635416
Y 19.4392828251 0.0486636275689 7.44482955416
Ks 17.95 0.04 7.45047635416
z 19.8866873692 0.0483324550366 7.45086865416
i 20.5421156049 0.0505708603034 7.45328605417
H 18.74 0.06 7.45464635416
J 19.26 0.28 7.45464635416
K 18.04 0.12 7.45464635416
r 21.2261086792 0.107352568361 7.45811135416
J 19.07 0.08 7.46047635416
i 21.42 0.18 7.46117635416
J 18.99 0.04 7.46147635416
g 23.2762307856 0.343197160673 7.46895695417
Y 19.24 0.07 7.47047635417
B 23.85 0.31 7.50167635416
i 20.91 0.03 7.50999535416
r 21.74 0.04 7.50999535416
z 20.21 0.04 7.70047635416
F606W 22.494 0.17 8.05599535416
F475W 23.14 0.02 8.11647635416
F475W 23.664 0.42 8.11799535417
H 19.26 0.26 8.43922635417
J 19.64 0.11 8.43922635417
K 18.35 0.16 8.43922635417
z 20.28 0.03 8.44347635416
z 20.4 0.07 8.44347635416
Y 20.0552378993 0.0691266199764 8.44463795416
J 19.69 0.09 8.45047635416
K 18.44 0.18 8.45047635416
Ks 18.25 0.03 8.45047635416
H 19.22 0.18 8.45147635417
z 20.3992008192 0.0570039787715 8.45429945416
i 20.7238575438 0.057474359032 8.45913115416
Y 19.67 0.09 8.46047635416
r 21.75 0.05 8.46047635416
I 21.133 0.119 8.46147635416
z 20.606 0.092 8.46147635416
r 21.951982115 0.179983800721 8.46876425417
J 19.3 0.1 8.47147635416
R 22.501 0.24 8.47147635416
V 23.152 0.256 8.48147635417
H 18.83 0.23 9.18047635417
H 18.9 0.09 9.18047635417
J 19.32 0.08 9.18047635417
Ks 18.25 0.21 9.18047635417
Ks 18.34 0.06 9.18047635417
F160W 19.6 0.06 9.42747635416
F160W 19.769 0.074 9.42799535416
H 19.68 0.08 9.43047635417
J 20.57 0.2 9.43047635417
Ks 18.5 0.08 9.43047635417
K 18.43 0.17 9.44047635416
H 19.66 0.14 9.44087635417
J 20.23 0.1 9.44087635417
K 18.46 0.2 9.44087635417
H 19.21 0.05 9.44147635416
z 20.85 0.04 9.44547635417
Y 20.7763902728 0.105559119457 9.44569435416
H 19.62 0.15 9.44918468748
J 20.06 0.14 9.45047635416
Ks 18.49 0.05 9.45047635416
Y 20.09 0.14 9.46047635416
r 22.2 0.04 9.46047635416
z 20.69 0.11 9.46247635417
z 21.1883773121 0.0697123513511 9.46591745417
i 21.3695098621 0.056551354546 9.47114615417
F110W 20.5723 0.04 9.75337635417
F160W 19.8863 0.04 9.76797635416
F336W 26.918 0.27 9.81927635417
F475W 23.955 0.06 9.90497635416
F625W 22.883 0.07 9.96947635416
F775W 22.346 0.08 10.0320763542
F850W 21.527 0.05 10.0446763542
Ks 18.77 0.07 10.4304763542
H 19.63 0.08 10.4404763542
J 21.33 0.3 10.4404763542
K 18.91 0.19 10.4404763542
Y 21.6704354446 0.206240207261 10.4461721542
J 21.02 0.22 10.4467463542
K 18.43 0.25 10.4493698727
Ks 18.74 0.06 10.4504763542
z 22.014 0.214 10.4514763542
H 20.04 0.15 10.4528073727
H 19.34 0.09 10.4554763542
z 22.0612285601 0.128558273522 10.4582508542
J 20.94 0.35 10.4604763542
r 22.45 0.07 10.4604763542
I 22.052 0.289 10.4614763542
i 22.3838801057 0.103004946067 10.4714977542
R 23.379 0.277 10.4814763542
V 23.761 0.28 10.4814763542
H 20.17 0.34 10.4874063542
K 18.71 0.22 10.4874063542
F110W 20.82 0.02 10.5504763542
F110W 21.371 0.119 10.5529953542
F160W 20.279 0.09 10.6194763542
F160W 20.454 0.1 10.6199953542
H 19.53 0.21 11.1704763542
Ks 18.64 0.12 11.1704763542
F606W 23.77 0.375 11.2849953542
F475W 24.08 0.05 11.3004763542
F475W 24.747 0.695 11.3079953542
F475W 23.96 0.05 11.4114763542
F475W 24.555 0.639 11.4189953542
F814W 22.32 0.02 11.4284763542
F814W 22.584 0.339 11.4299953542
H 20.05 0.2 11.4316663542
F606W 23.665 0.357 11.4389953542
F606W 23.09 0.03 11.4404763542
Ks 18.99 0.05 11.4499953542
Ks 19.41 0.09 11.4504763542
z 22.815 0.471 11.4514763542
K 19.03 0.17 11.4548212616
H 20.24 0.18 11.4599953542
J 20.35 0.12 11.4599953542
J 21.16 0.4 11.4604763542
H 19.64 0.14 11.4684763542
I 23.0 0.309 11.4714763542
Ks 19.36 0.09 12.4334763542
Ks 19.44 0.08 12.4404763542
r 23.12 0.31 12.4404763542
K 19.42 0.16 12.446927743
H 20.57 0.19 12.4499953542
Ks 19.46 0.04 12.4499953542
H 20.99 0.21 12.4504763542
Ks 19.32 0.09 12.4564763542
Ks 19.34 0.08 12.4604763542
Ks 19.84 0.09 13.4304763542
K 19.67 0.14 13.4322263542
z 22.3 0.28 13.4404763542
K 19.63 0.23 13.4412101504
Ks 19.52 0.09 13.4494763542
H 21.01 0.14 13.4499953542
H 21.48 0.3 13.4504763542
Ks 19.43 0.09 13.4614763542
Ks 19.35 0.04 14.2704763542
Ks 20.06 0.1 14.4304763542
K 19.9 0.21 14.4459092245
Ks 19.93 0.03 14.4499953542
z 23.342 0.368 14.4514763542
Ks 20.02 0.13 14.4604763542
H 21.63 0.36 14.4704763542
Ks 19.97 0.05 15.2704763542
Ks 20.23 0.1 15.4411763542
K 20.13 0.25 15.4471360764
Ks 20.06 0.05 15.4499953542
Ks 20.43 0.13 15.4504763542
K 20.43 0.3 16.4462217245
Ks 20.31 0.08 16.4499953542
Ks 20.95 0.18 16.4504763542
Ks 20.77 0.13 17.4504763542
Ks 20.61 0.09 17.4799953542
Ks 20.81 0.13 18.4314763542
K 20.76 0.35 18.4378263542
K 20.84 0.26 18.4497749653
Ks 21.04 0.09 18.4504763542
Ks 20.93 0.17 18.4614763542
Ks 20.85 0.13 19.4599953542
Ks 21.23 0.37 19.4604763542
z 23.37 0.48 19.4634763542
Ks 21.46 0.08 21.4404763542
Ks 22.06 0.22 25.4404763542
